Cohort,City,Grade Type,Fellow ID Number,There is a person(s) at Teach For India that shares timely feedback with me on my classroom's progress,My PM consistently shares helpful and timely feedback on my development as a teacher and leader with me,My PM helps me identify opportunities within and beyond TFI that will aid my development as a leader,My PM is an effective mentor to me,"City wide events like the City Conferences, Learning Communities, and workshops aid my development by exposing me to the larger Movement for educational equity","I have access to helpful and timely support, resources and networks via Teach For India to find a suitable post-Fellowship opportunity",There is a sufficient ecosystem for consistent and timely support in my city that I can access for challenges I face while working with the community in which my placement school is located,There is a sufficient ecosystem for consistent and timely support in my city that I can access for the challenges I face while working in my placement school,I find the Career options available to me post Fellowship exciting,"I am growing the capabilities I need (e.g., knowledge, skills, mindsets, values, perspectives, relationships) to play a valuable role in the movement to ensure that all children in this nation have the opportunity to attain an excellent education.",Teach For India has a role to play in ensuring that all children in India attain an excellent education,I believe it is possible for all children in India to attain an excellent education,"I feel comfortable in approaching Senior Management with any concerns, questions or ideas that I have",I am aware of city level and Org level happenings at Teach For India,There is a person(s) I am close to and can draw support from at Teach For India,"I have seen evidence that at Teach For India, everyone works collectively, committing to do what it takes, to provide a quality education to students","I feel my work, when worthy, is aptly recognised and praised at Teach For India",I believe that my colleagues and staff at Teach For India conduct themselves with appropriate levels of professionalism,"In my experience, my views are taken into account and acted upon at Teach for India",I believe there exist apt channels and platforms at Teach for India for me to share feedback/concerns,I feel safe working in my placement school,I feel safe in the community in which in my placement school is located,I feel part of a larger movement that is working to ensure that all children in India attain an excellent education,I believe I have a role to play in ensuring all children attain an excellent education,I have a growing understanding of why all children in India today do not attain an excellent education,I find purpose and meaning in the work I do,I believe that I am effectively contributing to ensuring that all children have the opportunity to attain an excellent education,"Compared to my expectations when I applied, my actual Fellowship experience till date has:"
2018,Ahmedabad,Secondary,1001164,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,na,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Secondary,1001165,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,na,Strongly Disagree,Strongly Disagree,na,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001166,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Elementary,1001167,Agree,Strongly Agree,Agree,Agree,Disagree,na,Agree,Agree,na,Agree,Agree,Agree,na,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001168,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not lived up to my expectations
2017,Delhi,Secondary,1001169,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Not lived up to my expectations
2018,Mumbai,Secondary,1001170,Agree,Agree,Agree,Agree,Agree,na,Disagree,Disagree,na,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Mostly fulfilled my expectations
2017,Mumbai,Elementary,1001171,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Not lived up to my expectations
2018,Delhi,Secondary,1001172,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001173,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,na,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Mumbai,Elementary,1001174,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Elementary,1001175,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001176,Agree,Agree,Agree,Agree,Agree,na,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001177,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Elementary,1001178,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Pune,Secondary,1001179,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Bengaluru,Elementary,1001180,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001181,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,na,Disagree,Agree,na,Agree,Agree,Agree,na,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Mostly fulfilled my expectations
2017,Hyderabad,Secondary,1001182,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001183,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001184,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Secondary,1001185,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Exceeded my expectations
2018,Delhi,Elementary,1001186,Agree,Agree,Agree,Disagree,Disagree,na,Agree,Disagree,na,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001187,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001188,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Pune,Elementary,1001189,Agree,Agree,Agree,Agree,Strongly Agree,na,Disagree,Agree,na,Agree,Agree,Strongly Agree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001190,Agree,Agree,Agree,Agree,Disagree,na,Agree,Disagree,na,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001191,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Secondary,1001192,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001193,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001194,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001195,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001196,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,na,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001197,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001198,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001199,Disagree,Agree,Disagree,Strongly Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Chennai,Secondary,1001200,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001201,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Elementary,1001202,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Elementary,1001203,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,na,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001204,Agree,Strongly Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001205,Disagree,Disagree,Disagree,Disagree,Disagree,na,Disagree,Agree,na,Agree,Agree,Disagree,na,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not lived up to my expectations
2017,Mumbai,Secondary,1001206,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Exceeded my expectations
2017,Delhi,Secondary,1001207,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001208,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001209,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,na,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001210,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Ahmedabad,Secondary,1001211,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Bengaluru,Elementary,1001212,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,na,Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001213,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Mumbai,Elementary,1001214,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Bengaluru,Secondary,1001215,Agree,Strongly Agree,Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Hyderabad,Secondary,1001216,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001217,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Strongly Agree,na,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not lived up to my expectations
2017,Hyderabad,Secondary,1001218,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001219,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,na,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,na,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Not lived up to my expectations
2017,Chennai,Secondary,1001220,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Exceeded my expectations
2018,Delhi,Secondary,1001221,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001222,Agree,Agree,Agree,Agree,Disagree,na,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Chennai,Secondary,1001223,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001224,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Disagree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001225,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001226,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,na,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Elementary,1001227,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2018,Pune,Secondary,1001228,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Hyderabad,Elementary,1001229,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Elementary,1001230,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001231,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,na,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Not lived up to my expectations
2018,Pune,Elementary,1001232,Disagree,Disagree,Strongly Disagree,Disagree,na,na,Strongly Disagree,Strongly Disagree,na,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Not lived up to my expectations
2018,Pune,Elementary,1001233,Disagree,Agree,Disagree,Disagree,na,na,Disagree,Disagree,na,Agree,Disagree,Disagree,na,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Not lived up to my expectations
2018,Hyderabad,Elementary,1001234,Disagree,Disagree,Agree,Disagree,Strongly Agree,na,Disagree,Disagree,na,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Mostly fulfilled my expectations
2017,Hyderabad,Elementary,1001235,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,na,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Elementary,1001236,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Bengaluru,Elementary,1001237,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Not lived up to my expectations
2017,Pune,Secondary,1001238,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Chennai,Secondary,1001239,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,na,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Mumbai,Elementary,1001240,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001241,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2018,Delhi,Secondary,1001242,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,na,Agree,Agree,Disagree,na,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
